id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13341878,Au calme sous le toit avec vue sur le lac Léman,75576019,Julien,Lausanne,Lausanne,46.52801,6.61595,Entire home/apt,,1,0,,,1,0,0,
13342711,BnB d'Epesses chambre 2,75585021,Marylène,Lavaux-Oron,Bourg-en-Lavaux,46.49234,6.74704,Private room,140,2,3,2020-08-08,0.04,2,346,0,
13358435,New - Quiet & Bright Room in a great Apt,3528377,Marc,Lausanne,Lausanne,46.52056,6.61917,Private room,54,2,56,2023-09-30,0.60,13,0,11,
13369621,Room close to the center of Lausanne,75911116,Thierry,Lausanne,Lausanne,46.53173,6.6362,Private room,,1,22,2019-04-14,0.23,1,0,0,
13411945,Independent studio in a house,42177032,Nader,Gros-de-Vaud,Sullens,46.59053,6.56383,Entire home/apt,55,4,30,2024-01-12,0.32,1,322,4,
13429543,Charming and Peaceful Apt in the Heart of Lausanne,35556446,Hua,Lausanne,Lausanne,46.52742,6.64172,Private room,,1,0,,,1,0,0,
13439482,BnB d'Epesses chambre 1,75585021,Marylène,Lavaux-Oron,Bourg-en-Lavaux,46.49259,6.74833,Private room,140,2,3,2020-09-13,0.04,2,345,0,
13506966,Great apartment just below Lausanne Train Station,69601158,Riz,Lausanne,Lausanne,46.51352,6.62422,Entire home/apt,,2,5,2016-07-31,0.05,1,0,0,
13522535,Charming chalet in Rougemont - Gstaad,9377883,Johan,Riviera-Pays-d'Enhaut,Rougemont,46.49091602954142,7.211670774034519,Entire home/apt,275,3,14,2023-07-21,0.15,1,355,1,
13528063,Petit chalet avec vue imprenable sur le Léman,76274887,Mario,Riviera-Pays-d'Enhaut,Montreux,46.45703,6.93115,Entire home/apt,,7,1,2016-09-02,0.01,2,0,0,
13528800,Petit chalet avec vue imprenable sur le Léman,76274887,Mario,Riviera-Pays-d'Enhaut,Montreux,46.45682,6.93084,Entire home/apt,,7,1,2016-07-31,0.01,2,0,0,
13533879,Modern and cosy apartment of 145m2.,22041291,Cedric,Gros-de-Vaud,Vufflens-la-Ville,46.57876,6.5408,Entire home/apt,,2,39,2018-12-28,0.42,1,0,0,
13552496,Friendly flat with amazing view near train station,76765164,Naomi,Lausanne,Lausanne,46.51651,6.62632,Entire home/apt,,3,2,2017-07-24,0.02,1,0,0,
13569577,Lake Geneva Panoramic View (34m2 studio),34920949,Leïla,Lausanne,Lausanne,46.53679,6.65773,Entire home/apt,,1,3,2019-03-12,0.03,1,0,0,
13569962,Chambre dans maison de charme à Lausanne,22352027,Lise,Lausanne,Lausanne,46.53144,6.65304,Private room,48,7,22,2023-08-27,0.24,3,21,1,
13595923,Modern apartment (160m2) in an old village house.,78586465,Alexandre,Nyon,Genolier,46.43646,6.21654,Entire home/apt,150,5,59,2024-02-18,0.67,1,140,12,
13600155,Sweet apartment with lake view,24223795,JohnT,Lausanne,Lausanne,46.52668,6.61434,Entire home/apt,240,3,32,2021-02-02,0.34,1,364,0,
13610208,In the Vineyards Lavaux between Lausanne & Montreu,29793352,Katya,Lavaux-Oron,Chexbres,46.47962,6.77835,Entire home/apt,105,3,111,2024-02-12,1.19,1,249,15,
13618345,"Villa Roméo, 200m2 à 5 minutes de Montreux",78861623,Marcel,Riviera-Pays-d'Enhaut,La Tour-de-Peilz,46.45203,6.88021,Entire home/apt,200,6,36,2024-01-04,0.52,1,192,10,
13620163,Villars sur Ollon garden and panoramic view,78673607,Astrid,Aigle,Ollon,46.30038,7.03757,Entire home/apt,85,10,1,2019-08-31,0.02,3,116,0,
